UNITID,CIPCODE,MAJORNUM,AWLEVEL,XCTOTALT,CTOTALT,XCTOTALM,CTOTALM,XCTOTALW,CTOTALW,XCAIANT,CAIANT,XCAIANM,CAIANM,XCAIANW,CAIANW,XCASIAT,CASIAT,XCASIAM,CASIAM,XCASIAW,CASIAW,XCBKAAT,CBKAAT,XCBKAAM,CBKAAM,XCBKAAW,CBKAAW,XCHISPT,CHISPT,XCHISPM,CHISPM,XCHISPW,CHISPW,XCNHPIT,CNHPIT,XCNHPIM,CNHPIM,XCNHPIW,CNHPIW,XCWHITT,CWHITT,XCWHITM,CWHITM,XCWHITW,CWHITW,XC2MORT,C2MORT,XC2MORM,C2MORM,XC2MORW,C2MORW,XCUNKNT,CUNKNT,XCUNKNM,CUNKNM,XCUNKNW,CUNKNW,XCNRALT,CNRALT,XCNRALM,CNRALM,XCNRALW,CNRALW  
104151,"11.0701",1,17,"R",27,"R",20,"R",7,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20,"R",15,"R",5
104179,"11.0101",1,17,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0
104179,"11.0701",1,17,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
104179,"11.9999",1,17,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0
110404,"11.0101",1,17,"R",4,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
110635,"11.0401",1,17,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
110635,"11.0701",1,17,"R",31,"R",28,"R",3,"R",0,"R",0,"R",0,"R",4,"R",3,"R",1,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",10,"R",8,"R",2,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0,"R",11,"R",11,"R",0
110644,"11.0701",1,17,"R",25,"R",17,"R",8,"R",0,"R",0,"R",0,"R",6,"R",4,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",15,"R",9,"R",6
110653,"11.0101",1,17,"R",23,"R",17,"R",6,"R",0,"R",0,"R",0,"R",5,"R",4,"R",1,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",5,"R",5,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",1,"R",10,"R",6,"R",4
110653,"11.0199",1,17,"R",4,"R",4,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",2,"R",2,"R",0
